normalized-losses,make,bahan-bakar,jumlah-pintu,body-style,wheel-bases,length,width,height
?,alfa-romero,gas,two,convertible,88.6,168.8,64.1,48.8
?,alfa-romero,gas,two,convertible,88.6,168.8,64.1,48.8
?,alfa-romero,gas,two,hatchback,94.5,171.2,65.5,52.4
164,audi,gas,four,sedan,99.8,176.6,66.2,54.3
164,audi,gas,four,sedan,99.4,176.6,66.4,54.3
?,audi,gas,two,sedan,99.8,177.3,66.3,53.1
158,audi,gas,four,sedan,105.8,192.7,71.4,55.7
?,audi,gas,four,wagon,105.8,,71.4,55.7
158,audi,gas,four,sedan,105.8,192.7,71.4,55.9
?,audi,gas,two,hatchback,99.5,178.2,67.9,52
192,bmw,gas,two,sedan,101.2,176.8,64.8,54.3
192,bmw,gas,four,sedan,101.2,176.8,64.8,54.3
188,bmw,gas,two,sedan,101.2,176.8,64.8,54.3
188,bmw,gas,four,sedan,101.2,176.8,64.8,54.3
?,bmw,gas,four,sedan,103.5,189,66.9,55.7
?,bmw,gas,four,sedan,103.5,189,66.9,55.7
?,bmw,gas,two,sedan,103.5,193.8,67.9,53.7
?,bmw,gas,four,sedan,110,,70.9,56.3
121,chevrolet,gas,two,hatchback,88.4,141.1,60.3,53.2
98,chevrolet,gas,two,hatchback,94.5,155.9,63.6,52
81,chevrolet,gas,four,sedan,94.5,158.8,63.6,52
118,dodge,gas,two,hatchback,93.7,157.3,63.8,50.8
118,dodge,gas,two,hatchback,93.7,157.3,63.8,50.8
118,dodge,gas,two,hatchback,93.7,157.3,63.8,50.8
148,dodge,gas,four,hatchback,93.7,157.3,63.8,50.6
148,dodge,gas,four,sedan,93.7,157.3,63.8,50.6
148,dodge,gas,four,sedan,93.7,157.3,63.8,50.6
148,dodge,gas,?,sedan,93.7,157.3,63.8,50.6
110,dodge,gas,four,wagon,103.3,174.6,64.6,59.8
145,dodge,gas,two,hatchback,95.9,173.2,66.3,50.2
137,honda,gas,two,hatchback,86.6,144.6,63.9,50.8
137,honda,gas,two,hatchback,86.6,144.6,63.9,
101,honda,gas,two,hatchback,93.7,150,64,52.6
101,honda,gas,two,hatchback,93.7,150,64,52.6
101,honda,gas,two,hatchback,93.7,150,64,52.6
110,honda,gas,four,sedan,96.5,163.4,64,54.5
78,honda,gas,four,wagon,96.5,157.1,63.9,58.3
106,honda,gas,two,hatchback,96.5,167.5,65.2,53.3
106,honda,gas,two,hatchback,96.5,167.5,65.2,53.3
85,honda,gas,four,sedan,96.5,175.4,65.2,54.1
85,honda,gas,four,sedan,96.5,175.4,62.5,54.1
85,honda,gas,four,sedan,96.5,175.4,65.2,54.1
107,honda,gas,two,sedan,96.5,169.1,66,51
?,isuzu,gas,four,sedan,94.3,170.7,,
?,isuzu,gas,two,sedan,94.5,155.9,63.6,52
?,isuzu,gas,four,sedan,94.5,155.9,63.6,52
?,isuzu,gas,two,hatchback,96,172.6,65.2,51.4
145,jaguar,gas,four,sedan,113,199.6,69.6,52.8
?,jaguar,gas,four,sedan,113,199.6,69.6,52.8
?,jaguar,gas,two,sedan,102,191.7,70.6,47.8
104,mazda,gas,two,hatchback,93.1,159.1,64.2,54.1
104,mazda,gas,two,hatchback,93.1,,64.2,54.1
104,mazda,gas,two,hatchback,93.1,159.1,64.2,54.1
113,mazda,gas,four,sedan,93.1,166.8,64.2,54.1
113,mazda,gas,four,sedan,93.1,166.8,64.2,54.1
150,mazda,gas,two,hatchback,95.3,169,65.7,49.6
150,mazda,gas,two,hatchback,95.3,169,65.7,49.6
150,mazda,gas,two,hatchback,95.3,169,65.7,49.6
150,mazda,gas,two,hatchback,95.3,169,65.7,49.6
129,mazda,gas,two,hatchback,98.8,177.8,66.5,53.7
115,mazda,gas,four,sedan,98.8,177.8,66.5,55.5
129,mazda,gas,two,hatchback,98.8,177.8,,53.7
115,mazda,gas,four,sedan,98.8,177.8,66.5,55.5
?,mazda,diesel,?,sedan,98.8,177.8,66.5,55.5
115,mazda,gas,four,hatchback,98.8,177.8,66.5,55.5
118,mazda,gas,four,sedan,104.9,175,66.1,54.4
?,mazda,diesel,four,sedan,104.9,175,66.1,54.4
93,mercedes-benz,diesel,four,sedan,110,190.9,70.3,
93,mercedes-benz,diesel,four,wagon,110,190.9,70.3,58.7
93,mercedes-benz,diesel,two,hardtop,106.7,187.5,70.3,54.9
93,mercedes-benz,diesel,four,sedan,115.6,202.6,71.7,56.3
?,mercedes-benz,gas,four,sedan,115.6,202.6,71.7,56.5
142,mercedes-benz,gas,two,convertible,96.6,,70.5,50.8
?,mercedes-benz,gas,four,sedan,120.9,208.1,71.7,56.7
?,mercedes-benz,gas,two,hardtop,112,199.2,72,55.4
?,mercury,gas,two,hatchback,102.7,178.4,68,54.8
161,mitsubishi,gas,two,hatchback,93.7,157.3,64.4,50.8
161,mitsubishi,gas,two,hatchback,93.7,,64.4,50.8
161,mitsubishi,gas,two,hatchback,93.7,157.3,,50.8
161,mitsubishi,gas,two,hatchback,93,157.3,63.8,50.8
153,mitsubishi,gas,two,hatchback,96.3,173,65.4,49.4
153,mitsubishi,gas,two,hatchback,96.3,173,65.4,49.4
?,mitsubishi,gas,two,hatchback,95.9,173.2,66.3,50.2
?,mitsubishi,gas,two,hatchback,,173.2,66.3,50.2
?,mitsubishi,gas,two,hatchback,95.9,173.2,66.3,50.2
125,mitsubishi,gas,four,sedan,96.3,172.4,65.4,51.6
125,mitsubishi,gas,four,sedan,96.3,172.4,65.4,
125,,gas,four,sedan,96.3,172.4,65.4,51.6
137,mitsubishi,gas,four,sedan,96.3,172.4,65.4,51.6
128,nissan,gas,two,sedan,94.5,165.3,63.8,54.5
128,nissan,diesel,two,sedan,94.5,165.3,,54.5
128,nissan,gas,two,sedan,,165.3,63.8,54.5
122,nissan,gas,four,sedan,94.5,,63.8,54.5
103,nissan,gas,four,wagon,94.5,170.2,63.8,53.5
128,nissan,gas,two,sedan,94.5,165.3,63.8,54.5
128,nissan,gas,two,hatchback,94.5,165.6,63.8,53.3
122,nissan,gas,four,sedan,94.5,165.3,63.8,54.5
103,nissan,gas,four,wagon,94.5,170.2,63.8,53.5
168,nissan,gas,two,hardtop,95.1,162.4,63.8,53.3
106,nissan,gas,four,hatchback,97.2,173.4,65.2,54.7
106,nissan,gas,four,sedan,97.2,173.4,65.2,54.7
128,,gas,four,sedan,100.4,181.7,66.5,55.1
108,nissan,gas,four,wagon,,184.6,66.5,56.1
108,nissan,gas,four,sedan,100.4,184.6,66.5,55.1
194,nissan,gas,two,hatchback,91.3,170.7,67.9,49.7
194,nissan,gas,two,hatchback,91.3,,67.9,49.7
231,nissan,gas,two,hatchback,99.2,178.5,67.9,49.7
161,peugot,gas,four,sedan,107.9,186.7,68.4,56.7
